,Industry,Symbol
0,Metals & Mining,ADANIENT.NS
1,Services,ADANIPORTS.NS
2,Healthcare,APOLLOHOSP.NS
3,Consumer Durables,ASIANPAINT.NS
4,Financial Services,AXISBANK.NS
5,Automobile and Auto Components,BAJAJ-AUTO.NS
6,Financial Services,BAJFINANCE.NS
7,Financial Services,BAJAJFINSV.NS
8,Capital Goods,BEL.NS
9,Telecommunication,BHARTIARTL.NS
10,Healthcare,CIPLA.NS
11,Oil Gas & Consumable Fuels,COALINDIA.NS
12,Healthcare,DRREDDY.NS
13,Fast Moving Consumer Goods,DUMMYHDLVR.NS
14,Automobile and Auto Components,EICHERMOT.NS
15,Consumer Services,ETERNAL.NS
16,Construction Materials,GRASIM.NS
17,Information Technology,HCLTECH.NS
18,Financial Services,HDFCBANK.NS
19,Financial Services,HDFCLIFE.NS
20,Metals & Mining,HINDALCO.NS
21,Fast Moving Consumer Goods,HINDUNILVR.NS
22,Financial Services,ICICIBANK.NS
23,Fast Moving Consumer Goods,ITC.NS
24,Information Technology,INFY.NS
25,Services,INDIGO.NS
26,Metals & Mining,JSWSTEEL.NS
27,Financial Services,JIOFIN.NS
28,Financial Services,KOTAKBANK.NS
29,Construction,LT.NS
30,Automobile and Auto Components,M&M.NS
31,Automobile and Auto Components,MARUTI.NS
32,Healthcare,MAXHEALTH.NS
33,Power,NTPC.NS
34,Fast Moving Consumer Goods,NESTLEIND.NS
35,Oil Gas & Consumable Fuels,ONGC.NS
36,Power,POWERGRID.NS
37,Oil Gas & Consumable Fuels,RELIANCE.NS
38,Financial Services,SBILIFE.NS
39,Financial Services,SHRIRAMFIN.NS
40,Financial Services,SBIN.NS
41,Healthcare,SUNPHARMA.NS
42,Information Technology,TCS.NS
43,Fast Moving Consumer Goods,TATACONSUM.NS
44,Automobile and Auto Components,TMPV.NS
45,Metals & Mining,TATASTEEL.NS
46,Information Technology,TECHM.NS
47,Consumer Durables,TITAN.NS
48,Consumer Services,TRENT.NS
49,Construction Materials,ULTRACEMCO.NS
50,Information Technology,WIPRO.NS
